表10-1(099年度)綜稅所得淨額各縣市申報統計分析表,製表日期：101年12月28日
縣市別,納稅單位,所得淨額(千元),平均數(千元),中位數(千元),第一分位數(千元),第三分位數(千元),標準差,變異係數
臺北市,808040,592469342,733,194,0,660,8831.92,1204.54
高雄市,627344,199586819,318,72,0,356,1076.99,338.52
臺中市,622928,180811072,290,34,0,292,1211.38,417.34
基隆市,100220,27004031,269,82,0,332,633.39,235.07
臺南市,403190,110739586,275,43,0,285,1262.94,459.82
嘉義市,58035,17747608,306,69,0,359,744.66,243.50
新竹市,113318,74587278,658,165,0,611,9720.14,1476.75
新北市,1058980,347723568,328,87,0,363,1509.31,459.65
宜蘭縣,96682,20020196,207,20,0,229,881.88,425.88
桃園縣,509205,157121626,309,83,0,343,1114.88,361.31
新竹縣,131369,56885362,433,113,0,442,1412.15,326.12
苗栗縣,133565,30640733,229,48,0,271,623.33,271.71
南投縣,92625,19923801,215,17,0,237,919.46,427.45
彰化縣,274923,60877589,221,2,0,202,3030.60,1368.62
雲林縣,120872,24746760,205,23,0,241,905.37,442.22
嘉義縣,86554,16780833,194,20,0,231,454.46,234.41
屏東縣,138353,29322240,212,26,0,251,695.75,328.28
花蓮縣,67780,15295463,226,31,0,265,546.13,242.01
臺東縣,34631,7325097,212,40,0,265,491.89,232.55
澎湖縣,16671,4427743,266,82,0,363,519.37,195.55
金門縣,21518,6594147,306,121,0,404,545.46,178.00
連江縣,2530,953676,377,212,0,515,555.78,147.44
合計,5519333,2001584569,363,74,0,360,3866.45,1066.17
