表10-3-1(099年度)綜稅所得淨額十分位申報統計分析表,製表日期：101年12月27日
分位別,納稅單位,所得淨額(千元),平均數(千元),中位數(千元),第一分位數(千元),第三分位數(千元),標準差,變異係數
第一分位,551934,0,0,0,0,0,0.00,0.00
第二分位,551934,0,0,0,0,0,0.00,0.00
第三分位,551934,0,0,0,0,0,0.00,0.00
第四分位,551933,415375,1,0,0,0,1.98,263.47
第五分位,551933,22030360,40,39,24,56,18.59,46.58
第六分位,551933,62941371,114,113,93,135,24.55,21.53
第七分位,551933,118697474,215,213,185,244,34.42,16.01
第八分位,551933,200859547,364,360,317,409,53.66,14.75
第九分位,551933,350990983,636,619,533,730,117.21,18.43
第十分位,551933,1245649459,2257,1415,1084,2119,12045.73,533.73
合計,5519333,2001584569,363,74,0,360,3866.45,1066.17
