表11-1(099年度)綜稅按戶數十等分所得淨額各縣市申報統計分析表,單位：金額(千元),製表日期：101年12月28日
縣市別,第一分位,第二分位,第三分位,第四分位,第五分位,第六分位,第七分位,第八分位,第九分位,第十分位
臺北市,0,0,0,45927,2586858,8144826,17191394,32090410,68361122,464048805
高雄市,0,0,0,46760,2517727,7174238,13384822,23151294,40682958,112629019
臺中市,0,0,0,49023,2472594,6621710,12115925,20144582,34478813,104928425
基隆市,0,0,0,8075,431770,1284168,2381871,3993920,6663571,12240654
臺南市,0,0,0,34318,1751081,4680416,8303031,13456925,21956082,60557731
嘉義市,0,0,0,4195,211895,626808,1230208,2193948,3861076,9619479
新竹市,0,0,0,6954,389973,1177708,2343651,4355614,8843237,57470141
新北市,0,0,0,81688,4436335,12908071,24458136,40758024,70335150,194746164
宜蘭縣,0,0,0,8826,423073,1114834,1974289,3061761,4571034,8866380
桃園縣,0,0,0,39541,2209554,6457200,12045914,19591525,32407562,84370330
新竹縣,0,0,0,9237,526088,1545841,2916248,5016669,9171128,37700150
苗栗縣,0,0,0,11204,577484,1672519,3019302,4781133,7345445,13233646
南投縣,0,0,0,7758,375085,1014732,1825515,2998107,4557528,9145075
彰化縣,0,0,0,22763,1130826,2928401,5089778,7917262,11922151,31866408
雲林縣,0,0,0,9680,498133,1377505,2554720,4190572,5864196,10251954
嘉義縣,0,0,0,7079,358986,994735,1846753,2948003,4075381,6549896
屏東縣,0,0,0,11520,565690,1566345,2876787,4722032,7175149,12404716
花蓮縣,0,0,0,5273,273092,750821,1417313,2319178,3658013,6871773
臺東縣,0,0,0,2634,143249,427049,756853,1266678,1905365,2823269
澎湖縣,0,0,0,1216,59603,179917,370654,749071,1218440,1848841
金門縣,0,0,0,1589,82905,264133,531989,1008367,1675461,3029702
連江縣,0,0,0,113,8357,29394,62322,144472,262120,446898
合計,0,0,0,415375,22030360,62941371,118697474,200859547,350990983,1245649459
