表12-1(099年度)綜稅應納稅額各縣市申報統計分析表,單位：金額(千元),製表日期：101年12月28日
縣市別,納稅單位,應納稅額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
臺北市,808040,106312345,132,10,0,39,3495.10,2656.49
高雄市,627344,21318365,34,4,0,18,353.96,1041.60
臺中市,622928,20952169,34,2,0,15,413.40,1229.08
基隆市,100220,2326884,23,4,0,17,163.55,704.41
臺南市,403190,12072098,30,2,0,14,446.88,1492.51
嘉義市,58035,1736773,30,3,0,18,196.50,656.61
新竹市,113318,12454027,110,8,0,34,3858.00,3510.35
新北市,1058980,37547921,35,4,0,18,547.22,1543.36
宜蘭縣,96682,1822722,19,1,0,11,303.25,1608.50
桃園縣,509205,16177112,32,4,0,17,373.83,1176.70
新竹縣,131369,7051292,54,6,0,22,461.60,859.99
苗栗縣,133565,2636654,20,2,0,14,169.61,859.20
南投縣,92625,1877405,20,1,0,12,314.82,1553.21
彰化縣,274923,7634552,28,0,0,10,1189.41,4283.09
雲林縣,120872,2191255,18,1,0,12,318.71,1758.04
嘉義縣,86554,1375814,16,1,0,12,90.83,571.45
屏東縣,138353,2507090,18,1,0,13,218.47,1205.64
花蓮縣,67780,1307098,19,2,0,13,127.93,663.38
臺東縣,34631,576196,17,2,0,13,114.31,687.01
澎湖縣,16671,342638,21,4,0,18,110.79,539.06
金門縣,21518,534560,25,6,0,20,97.50,392.46
連江縣,2530,74403,29,11,0,26,89.48,304.28
合計,5519333,260829375,47,4,0,18,1515.96,3207.89
