表12-3-1(099年度)綜稅應納稅額十分位申報統計分析表,單位：金額(千元),製表日期：101年12月27日
分位別,納稅單位,應納稅額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
第一分位,551934,0,0,0,0,0,0.00,0.00
第二分位,551934,0,0,0,0,0,0.00,0.00
第三分位,551934,0,0,0,0,0,0.00,0.00
第四分位,551933,20728,0,0,0,0,0.10,263.62
第五分位,551933,1101276,2,2,1,3,0.93,46.59
第六分位,551933,3146813,6,6,5,7,1.23,21.53
第七分位,551933,5934599,11,11,9,12,1.72,16.01
第八分位,551933,10042675,18,18,16,20,2.68,14.75
第九分位,551933,20741170,38,35,28,46,10.99,29.23
第十分位,551933,219842114,398,128,84,250,4779.45,1199.92
合計,5519333,260829375,47,4,0,18,1515.96,3207.89
