表12-3-2(099年度)綜稅應納稅額二十分位申報統計分析表,單位：金額(千元),製表日期：101年12月27日
分位別,納稅單位,應納稅額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
第一分位,275967,0,0,0,0,0,0.00,0.00
第二分位,275967,0,0,0,0,0,0.00,0.00
第三分位,275967,0,0,0,0,0,0.00,0.00
第四分位,275967,0,0,0,0,0,0.00,0.00
第五分位,275967,0,0,0,0,0,0.00,0.00
第六分位,275967,0,0,0,0,0,0.00,0.00
第七分位,275967,0,0,0,0,0,0.00,0.00
第八分位,275967,20729,0,0,0,0,0.13,172.48
第九分位,275967,329032,1,1,1,2,0.44,36.68
第十分位,275967,772250,3,3,2,3,0.50,17.78
第十一分位,275967,1280444,5,5,4,5,0.57,12.19
第十二分位,275967,1866385,7,7,6,7,0.66,9.81
第十三分位,275967,2556654,9,9,9,10,0.78,8.47
第十四分位,275966,3377963,12,12,11,13,0.94,7.66
第十五分位,275966,4382240,16,16,15,17,1.17,7.39
第十六分位,275966,5660440,21,20,19,22,1.51,7.38
第十七分位,275966,7811840,28,28,25,31,3.65,12.88
第十八分位,275966,12929345,47,46,40,53,7.49,15.99
第十九分位,275966,24011074,87,84,72,100,18.00,20.68
第二十分位,275966,195830978,710,250,172,470,6744.80,950.48
合計,5519333,260829375,47,4,0,18,1515.96,3207.89
