表16-1(099年度)綜稅各類所得金額各縣市申報統計表,單位：金額(千元),製表日期：101年12月28日
縣市別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
臺北市,808040,995399315,9920059,21588783,644879489,42376943,35479704,6917967,844836,210538055,2630281,13476638,641892,6104669,553249391,903664021,3046609
高雄市,627344,491394080,9925582,10645144,376822802,21006620,8447924,1499299,425575,53805648,702787,6607632,71642,1433425,304070413,418638901,597975
臺中市,622928,468983074,13361350,11393489,342095247,19719392,11565702,1463406,403242,59869224,368174,5282886,96069,3364893,268733179,395609387,702435
基隆市,100220,72426295,1083876,925752,60794979,2579702,1099319,212242,66646,4525836,61815,760310,18055,297762,48746076,60374870,100196
臺南市,403190,296735175,8427121,6100123,225858615,13016368,4533241,531544,279064,33430949,272097,3531997,63055,690999,178993761,249869105,440193
嘉義市,58035,45010259,1224371,1530138,33128261,2924916,893268,88896,37959,4534772,53961,483177,5759,104781,26857206,38738273,59776
新竹市,113318,133740234,1919310,1652177,99478307,4448932,2083211,363940,146377,20200126,103990,3000423,16035,327408,85419510,119760265,152851
新北市,1058980,837724360,10812855,12556388,664983667,29301846,16719686,4255553,903904,81771914,907856,11013662,337864,4159165,535942369,708639193,1733381
宜蘭縣,96682,64497204,2009474,943180,51338663,3008014,887997,168205,61306,4884439,53963,722415,16519,403030,39908119,53059205,79666
桃園縣,509205,406701240,6297004,6423679,328332370,13720695,6806846,1043199,418648,34881506,398260,6476409,62306,1840317,263659324,342023799,407868
新竹縣,131369,125779572,1599125,1191542,104137770,3484053,1530691,253703,143951,10055197,93935,2839381,10540,439684,87000492,108667053,93894
苗栗縣,133565,92211760,1958323,1217754,76210117,3527470,1032577,136123,95654,6293049,41971,1496254,5535,196933,59752400,75753153,56055
南投縣,92625,61316607,1945108,1127621,47740441,3233524,844848,92359,48585,5397614,51432,568670,6642,259763,37444308,51019324,64012
彰化縣,274923,182697810,7165370,3123902,132798555,7940706,2830068,276132,153344,25896786,81607,1707153,17635,706552,100495312,150393917,139591
雲林縣,120872,79390956,2389539,1659297,61957823,3955989,971438,114636,62563,7085411,46544,835638,9343,302734,48546921,65978562,70610
嘉義縣,86554,55925882,1632449,1088347,44871121,2495813,563635,88066,46491,4370794,28557,652501,8526,79582,35042317,46098791,56048
屏東縣,138353,91840080,2387683,1703838,74250999,4551155,1165379,143420,80689,6062391,110306,1157691,10835,215692,58822200,76409915,94108
花蓮縣,67780,45222590,1423259,1005981,36491277,2144383,628107,99171,38900,2834816,58458,345670,15223,137344,28789145,37519293,82860
臺東縣,34631,22891137,797007,443676,18818322,1156606,282010,40788,20471,1099050,27378,176784,4157,24887,14852594,18924672,34486
澎湖縣,16671,12365026,420897,214498,10051070,745887,121637,21035,11009,638857,14949,101168,1480,22538,8201032,10514660,15676
金門縣,21518,17546815,406234,224027,14306726,941207,165414,40506,22041,1170511,23864,202151,2815,41319,11682877,14922476,21079
連江縣,2530,2286573,45547,7663,1956206,91099,25038,3160,1212,144105,691,8200,118,3535,1626961,1957328,2042
合計,5519333,4602086043,87151543,86767000,3451302826,186371319,98677741,17853351,4312469,579491053,6132875,61446810,1422045,21157012,2797835907,3948536164,8051410
