表16-3-1(099年度)綜稅各類所得金額十分位申報統計表,單位：金額(千元),製表日期：101年12月27日
分位別,納稅單位,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
第一分位,551934,52476423,3713550,1462460,26140613,6482125,2251687,459403,118862,10558862,30520,650783,50247,557311,5023662,31342365,528001
第二分位,551934,131989052,3837231,1848090,103743247,7307771,3148388,519091,117383,9667528,71651,919518,48106,761048,54374940,82614066,340773
第三分位,551934,179699830,3940718,1950901,149165804,8535880,3285528,572298,158200,9896012,82168,1328704,46786,736833,95027667,125556539,302215
第四分位,551933,226464650,4574929,2315745,189979547,10382489,3934037,684582,201679,11557375,108990,1867090,60601,797588,131717800,168194936,356231
第五分位,551933,277945137,5447573,2773277,233548716,13018395,4534492,806637,262544,14090997,137882,2404689,50854,869081,170352261,214741714,344290
第六分位,551933,338389795,6717226,3568766,281518899,16787360,5716076,1045852,320493,18440558,173216,3079409,61684,960257,212761363,269623408,395960
第七分位,551933,418413546,8297222,4735852,343322480,21460296,7515320,1341384,419590,25751593,250038,4077083,86893,1155794,267562020,342637656,501872
第八分位,551933,535020827,9956990,6688657,436189195,26365930,10054981,1772218,531485,36100027,340609,5407021,117912,1495803,354614618,453427876,648458
第九分位,551933,731295516,12852413,11609889,588881151,29206961,15116537,2573901,755740,59128534,597349,8144323,194561,2234156,500461570,642850668,1102464
第十分位,551933,1710391267,27813689,49813364,1098813174,46824112,43120694,8077985,1426492,384299566,4340454,33568193,704402,11589142,1005940006,1617546937,3531147
合計,5519333,4602086043,87151543,86767000,3451302826,186371319,98677741,17853351,4312469,579491053,6132875,61446810,1422045,21157012,2797835907,3948536164,8051410
