表17-1(099年度)綜稅各類所得金額百分比各縣市申報統計表,單位：%,製表日期：101年12月28日
縣市別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得
臺北市,808040,100.00,1.00,2.17,64.79,4.26,3.56,0.69,0.08,21.15,0.26,1.35,0.06,0.61,55.58,90.78
高雄市,627344,100.00,2.02,2.17,76.68,4.27,1.72,0.31,0.09,10.95,0.14,1.34,0.01,0.29,61.88,85.19
臺中市,622928,100.00,2.85,2.43,72.94,4.20,2.47,0.31,0.09,12.77,0.08,1.13,0.02,0.72,57.30,84.35
基隆市,100220,100.00,1.50,1.28,83.94,3.56,1.52,0.29,0.09,6.25,0.09,1.05,0.02,0.41,67.30,83.36
臺南市,403190,100.00,2.84,2.06,76.11,4.39,1.53,0.18,0.09,11.27,0.09,1.19,0.02,0.23,60.32,84.21
嘉義市,58035,100.00,2.72,3.40,73.60,6.50,1.98,0.20,0.08,10.07,0.12,1.07,0.01,0.23,59.67,86.07
新竹市,113318,100.00,1.44,1.24,74.38,3.33,1.56,0.27,0.11,15.10,0.08,2.24,0.01,0.24,63.87,89.55
新北市,1058980,100.00,1.29,1.50,79.38,3.50,2.00,0.51,0.11,9.76,0.11,1.31,0.04,0.50,63.98,84.59
宜蘭縣,96682,100.00,3.12,1.46,79.60,4.66,1.38,0.26,0.10,7.57,0.08,1.12,0.03,0.62,61.88,82.27
桃園縣,509205,100.00,1.55,1.58,80.73,3.37,1.67,0.26,0.10,8.58,0.10,1.59,0.02,0.45,64.83,84.10
新竹縣,131369,100.00,1.27,0.95,82.79,2.77,1.22,0.20,0.11,7.99,0.07,2.26,0.01,0.35,69.17,86.39
苗栗縣,133565,100.00,2.12,1.32,82.65,3.83,1.12,0.15,0.10,6.82,0.05,1.62,0.01,0.21,64.80,82.15
南投縣,92625,100.00,3.17,1.84,77.86,5.27,1.38,0.15,0.08,8.80,0.08,0.93,0.01,0.42,61.07,83.21
彰化縣,274923,100.00,3.92,1.71,72.69,4.35,1.55,0.15,0.08,14.17,0.04,0.93,0.01,0.39,55.01,82.32
雲林縣,120872,100.00,3.01,2.09,78.04,4.98,1.22,0.14,0.08,8.92,0.06,1.05,0.01,0.38,61.15,83.11
嘉義縣,86554,100.00,2.92,1.95,80.23,4.46,1.01,0.16,0.08,7.82,0.05,1.17,0.02,0.14,62.66,82.43
屏東縣,138353,100.00,2.60,1.86,80.85,4.96,1.27,0.16,0.09,6.60,0.12,1.26,0.01,0.23,64.05,83.20
花蓮縣,67780,100.00,3.15,2.22,80.69,4.74,1.39,0.22,0.09,6.27,0.13,0.76,0.03,0.30,63.66,82.97
臺東縣,34631,100.00,3.48,1.94,82.21,5.05,1.23,0.18,0.09,4.80,0.12,0.77,0.02,0.11,64.88,82.67
澎湖縣,16671,100.00,3.40,1.73,81.29,6.03,0.98,0.17,0.09,5.17,0.12,0.82,0.01,0.18,66.32,85.04
金門縣,21518,100.00,2.32,1.28,81.53,5.36,0.94,0.23,0.13,6.67,0.14,1.15,0.02,0.24,66.58,85.04
連江縣,2530,100.00,1.99,0.34,85.55,3.98,1.09,0.14,0.05,6.30,0.03,0.36,0.01,0.15,71.15,85.60
合計,5519333,100.00,1.89,1.89,74.99,4.05,2.14,0.39,0.09,12.59,0.13,1.34,0.03,0.46,60.79,85.80
