表17-3-1(099年度)綜稅各類所得金額百分比十分位申報統計表,單位：%,製表日期：101年12月27日
分位別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得
第一分位,551934,100.00,7.08,2.79,49.81,12.35,4.29,0.88,0.23,20.12,0.06,1.24,0.10,1.06,9.57,59.73
第二分位,551934,100.00,2.91,1.40,78.60,5.54,2.39,0.39,0.09,7.32,0.05,0.70,0.04,0.58,41.20,62.59
第三分位,551934,100.00,2.19,1.09,83.01,4.75,1.83,0.32,0.09,5.51,0.05,0.74,0.03,0.41,52.88,69.87
第四分位,551933,100.00,2.02,1.02,83.89,4.58,1.74,0.30,0.09,5.10,0.05,0.82,0.03,0.35,58.16,74.27
第五分位,551933,100.00,1.96,1.00,84.03,4.68,1.63,0.29,0.09,5.07,0.05,0.87,0.02,0.31,61.29,77.26
第六分位,551933,100.00,1.99,1.05,83.19,4.96,1.69,0.31,0.09,5.45,0.05,0.91,0.02,0.28,62.87,79.68
第七分位,551933,100.00,1.98,1.13,82.05,5.13,1.80,0.32,0.10,6.15,0.06,0.97,0.02,0.28,63.95,81.89
第八分位,551933,100.00,1.86,1.25,81.53,4.93,1.88,0.33,0.10,6.75,0.06,1.01,0.02,0.28,66.28,84.75
第九分位,551933,100.00,1.76,1.59,80.53,3.99,2.07,0.35,0.10,8.09,0.08,1.11,0.03,0.31,68.43,87.91
第十分位,551933,100.00,1.63,2.91,64.24,2.74,2.52,0.47,0.08,22.47,0.25,1.96,0.04,0.68,58.81,94.57
合計,5519333,100.00,1.89,1.89,74.99,4.05,2.14,0.39,0.09,12.59,0.13,1.34,0.03,0.46,60.79,85.80
