表17-3-2(099年度)綜稅各類所得金額百分比二十分位申報統計表,單位：%,製表日期：101年12月27日
分位別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得
第一分位,275967,100.00,8.54,3.13,33.89,17.25,3.55,0.99,0.38,29.63,0.04,1.49,0.12,1.00,0.01,66.02
第二分位,275967,100.00,6.61,2.68,54.94,10.78,4.53,0.84,0.18,17.06,0.06,1.16,0.09,1.08,12.65,57.70
第三分位,275967,100.00,3.36,1.57,75.88,6.01,2.73,0.45,0.09,8.41,0.06,0.72,0.05,0.68,36.02,60.13
第四分位,275967,100.00,2.54,1.26,80.83,5.15,2.11,0.35,0.08,6.44,0.05,0.68,0.03,0.50,45.45,64.61
第五分位,275967,100.00,2.28,1.13,82.37,4.90,1.89,0.32,0.09,5.77,0.05,0.72,0.03,0.45,50.76,68.39
第六分位,275967,100.00,2.11,1.04,83.57,4.62,1.77,0.32,0.09,5.28,0.04,0.76,0.02,0.38,54.75,71.17
第七分位,275967,100.00,2.04,1.02,83.81,4.64,1.71,0.30,0.09,5.15,0.05,0.80,0.03,0.36,57.24,73.42
第八分位,275967,100.00,2.00,1.02,83.96,4.54,1.76,0.30,0.09,5.06,0.05,0.84,0.03,0.35,58.99,75.03
第九分位,275967,100.00,1.96,1.01,84.13,4.59,1.65,0.29,0.09,5.04,0.05,0.86,0.02,0.31,60.71,76.58
第十分位,275967,100.00,1.96,0.99,83.94,4.77,1.62,0.29,0.09,5.10,0.05,0.87,0.02,0.31,61.82,77.88
第十一分位,275967,100.00,1.98,1.03,83.42,4.98,1.66,0.30,0.09,5.27,0.05,0.91,0.02,0.28,62.55,79.13
第十二分位,275967,100.00,1.99,1.07,82.99,4.95,1.72,0.32,0.09,5.61,0.05,0.91,0.02,0.28,63.17,80.18
第十三分位,275967,100.00,1.99,1.08,82.48,4.97,1.79,0.32,0.10,5.97,0.06,0.95,0.02,0.28,63.71,81.22
第十四分位,275966,100.00,1.98,1.18,81.67,5.27,1.80,0.32,0.10,6.32,0.06,1.00,0.02,0.28,64.16,82.49
第十五分位,275966,100.00,1.89,1.20,81.33,5.40,1.85,0.33,0.10,6.55,0.06,1.00,0.02,0.28,65.33,84.00
第十六分位,275966,100.00,1.84,1.29,81.70,4.52,1.90,0.34,0.10,6.92,0.06,1.02,0.02,0.28,67.11,85.41
第十七分位,275966,100.00,1.77,1.43,81.39,4.08,1.98,0.34,0.10,7.45,0.08,1.07,0.03,0.29,68.36,86.97
第十八分位,275966,100.00,1.75,1.72,79.81,3.92,2.14,0.36,0.10,8.62,0.09,1.15,0.03,0.32,68.49,88.68
第十九分位,275966,100.00,1.70,2.15,77.61,3.64,2.32,0.39,0.11,10.27,0.11,1.28,0.03,0.39,68.64,91.03
第二十分位,275966,100.00,1.59,3.24,58.43,2.34,2.61,0.51,0.07,27.78,0.32,2.26,0.04,0.80,54.54,96.11
合計,5519333,100.00,1.89,1.89,74.99,4.05,2.14,0.39,0.09,12.59,0.13,1.34,0.03,0.46,60.79,85.80
