表18-1(099年度)綜稅各類所得金額單項分配各縣市申報統計表,單位：%,製表日期：101年12月28日
縣市別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
臺北市,14.64,21.63,11.38,24.88,18.69,22.74,35.96,38.75,19.59,36.33,42.89,21.93,45.14,28.85,19.77,22.89,37.84
高雄市,11.37,10.68,11.39,12.27,10.92,11.27,8.56,8.40,9.87,9.28,11.46,10.75,5.04,6.78,10.87,10.60,7.43
臺中市,11.29,10.19,15.33,13.13,9.91,10.58,11.72,8.20,9.35,10.33,6.00,8.60,6.76,15.90,9.61,10.02,8.72
基隆市,1.82,1.57,1.24,1.07,1.76,1.38,1.11,1.19,1.55,0.78,1.01,1.24,1.27,1.41,1.74,1.53,1.24
臺南市,7.31,6.45,9.67,7.03,6.54,6.98,4.59,2.98,6.47,5.77,4.44,5.75,4.43,3.27,6.40,6.33,5.47
嘉義市,1.05,0.98,1.40,1.76,0.96,1.57,0.91,0.50,0.88,0.78,0.88,0.79,0.40,0.50,0.96,0.98,0.74
新竹市,2.05,2.91,2.20,1.90,2.88,2.39,2.11,2.04,3.39,3.49,1.70,4.88,1.13,1.55,3.05,3.03,1.90
新北市,19.19,18.20,12.41,14.47,19.27,15.72,16.94,23.84,20.96,14.11,14.80,17.92,23.76,19.66,19.16,17.95,21.53
宜蘭縣,1.75,1.40,2.31,1.09,1.49,1.61,0.90,0.94,1.42,0.84,0.88,1.18,1.16,1.90,1.43,1.34,0.99
桃園縣,9.23,8.84,7.23,7.40,9.51,7.36,6.90,5.84,9.71,6.02,6.49,10.54,4.38,8.70,9.42,8.66,5.07
新竹縣,2.38,2.73,1.83,1.37,3.02,1.87,1.55,1.42,3.34,1.74,1.53,4.62,0.74,2.08,3.11,2.75,1.17
苗栗縣,2.42,2.00,2.25,1.40,2.21,1.89,1.05,0.76,2.22,1.09,0.68,2.44,0.39,0.93,2.14,1.92,0.70
南投縣,1.68,1.33,2.23,1.30,1.38,1.73,0.86,0.52,1.13,0.93,0.84,0.93,0.47,1.23,1.34,1.29,0.80
彰化縣,4.98,3.97,8.22,3.60,3.85,4.26,2.87,1.55,3.56,4.47,1.33,2.78,1.24,3.34,3.59,3.81,1.73
雲林縣,2.19,1.73,2.74,1.91,1.80,2.12,0.98,0.64,1.45,1.22,0.76,1.36,0.66,1.43,1.74,1.67,0.88
嘉義縣,1.57,1.22,1.87,1.25,1.30,1.34,0.57,0.49,1.08,0.75,0.47,1.06,0.60,0.38,1.25,1.17,0.70
屏東縣,2.51,2.00,2.74,1.96,2.15,2.44,1.18,0.80,1.87,1.05,1.80,1.88,0.76,1.02,2.10,1.94,1.17
花蓮縣,1.23,0.98,1.63,1.16,1.06,1.15,0.64,0.56,0.90,0.49,0.95,0.56,1.07,0.65,1.03,0.95,1.03
臺東縣,0.63,0.50,0.91,0.51,0.55,0.62,0.29,0.23,0.47,0.19,0.45,0.29,0.29,0.12,0.53,0.48,0.43
澎湖縣,0.30,0.27,0.48,0.25,0.29,0.40,0.12,0.12,0.26,0.11,0.24,0.16,0.10,0.11,0.29,0.27,0.19
金門縣,0.39,0.38,0.47,0.26,0.41,0.51,0.17,0.23,0.51,0.20,0.39,0.33,0.20,0.20,0.42,0.38,0.26
連江縣,0.05,0.05,0.05,0.01,0.06,0.05,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.06,0.05,0.03
合計,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
