表18-3-1(099年度)綜稅各類所得金額單項分配十分位申報統計表,單位：%,製表日期：101年12月27日
分位別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
第一分位,10.00,1.14,4.26,1.69,0.76,3.48,2.28,2.57,2.76,1.82,0.50,1.06,3.53,2.63,0.18,0.79,6.56
第二分位,10.00,2.87,4.40,2.13,3.01,3.92,3.19,2.91,2.72,1.67,1.17,1.50,3.38,3.60,1.94,2.09,4.23
第三分位,10.00,3.90,4.52,2.25,4.32,4.58,3.33,3.21,3.67,1.71,1.34,2.16,3.29,3.48,3.40,3.18,3.75
第四分位,10.00,4.92,5.25,2.67,5.50,5.57,3.99,3.83,4.68,1.99,1.78,3.04,4.26,3.77,4.71,4.26,4.42
第五分位,10.00,6.04,6.25,3.20,6.77,6.99,4.60,4.52,6.09,2.43,2.25,3.91,3.58,4.11,6.09,5.44,4.28
第六分位,10.00,7.35,7.71,4.11,8.16,9.01,5.79,5.86,7.43,3.18,2.82,5.01,4.34,4.54,7.60,6.83,4.92
第七分位,10.00,9.09,9.52,5.46,9.95,11.51,7.62,7.51,9.73,4.44,4.08,6.64,6.11,5.46,9.56,8.68,6.23
第八分位,10.00,11.63,11.42,7.71,12.64,14.15,10.19,9.93,12.32,6.23,5.55,8.80,8.29,7.07,12.67,11.48,8.05
第九分位,10.00,15.89,14.75,13.38,17.06,15.67,15.32,14.42,17.52,10.20,9.74,13.25,13.68,10.56,17.89,16.28,13.69
第十分位,10.00,37.17,31.91,57.41,31.84,25.12,43.70,45.25,33.08,66.32,70.77,54.63,49.53,54.78,35.95,40.97,43.86
合計,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
