表18-3-2(099年度)綜稅各類所得金額單項分配二十分位申報統計表,單位：%,製表日期：101年12月27日
分位別,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
第一分位,5.00,0.28,1.25,0.46,0.13,1.18,0.46,0.71,1.12,0.65,0.08,0.31,1.08,0.61,0.00,0.21,3.40
第二分位,5.00,0.86,3.01,1.23,0.63,2.30,1.82,1.86,1.64,1.17,0.42,0.75,2.45,2.03,0.18,0.58,3.16
第三分位,5.00,1.29,2.29,1.08,1.31,1.92,1.64,1.50,1.30,0.86,0.57,0.70,1.90,1.90,0.77,0.91,2.25
第四分位,5.00,1.57,2.11,1.05,1.70,2.00,1.55,1.41,1.42,0.80,0.60,0.80,1.48,1.70,1.18,1.19,1.99
第五分位,5.00,1.83,2.21,1.10,2.01,2.21,1.61,1.50,1.76,0.84,0.67,0.98,1.91,1.78,1.53,1.46,1.98
第六分位,5.00,2.08,2.32,1.15,2.31,2.37,1.72,1.70,1.91,0.87,0.67,1.18,1.38,1.70,1.87,1.72,1.77
第七分位,5.00,2.33,2.51,1.27,2.60,2.67,1.86,1.83,2.13,0.95,0.85,1.40,2.03,1.82,2.19,1.99,2.16
第八分位,5.00,2.59,2.74,1.40,2.90,2.91,2.13,2.01,2.54,1.04,0.93,1.64,2.23,1.95,2.52,2.27,2.26
第九分位,5.00,2.87,2.97,1.54,3.22,3.25,2.21,2.15,2.89,1.15,1.07,1.86,1.64,1.96,2.87,2.56,2.06
第十分位,5.00,3.17,3.28,1.66,3.55,3.73,2.39,2.37,3.20,1.28,1.18,2.06,1.94,2.14,3.22,2.88,2.22
第十一分位,5.00,3.49,3.65,1.91,3.88,4.29,2.70,2.67,3.54,1.46,1.38,2.39,2.24,2.16,3.59,3.22,2.40
第十二分位,5.00,3.86,4.05,2.20,4.27,4.72,3.09,3.19,3.89,1.72,1.44,2.62,2.10,2.38,4.01,3.61,2.52
第十三分位,5.00,4.29,4.50,2.46,4.72,5.26,3.57,3.54,4.57,2.03,1.81,3.05,2.85,2.58,4.49,4.06,2.92
第十四分位,5.00,4.80,5.02,3.00,5.23,6.25,4.04,3.97,5.16,2.41,2.27,3.59,3.27,2.89,5.07,4.62,3.32
第十五分位,5.00,5.43,5.42,3.46,5.89,7.24,4.68,4.56,5.65,2.82,2.57,4.05,3.35,3.35,5.83,5.31,3.56
第十六分位,5.00,6.20,6.01,4.25,6.75,6.91,5.51,5.36,6.68,3.41,2.98,4.75,4.94,3.72,6.84,6.17,4.50
第十七分位,5.00,7.21,6.74,5.47,7.82,7.27,6.67,6.31,7.83,4.26,4.11,5.76,5.99,4.50,8.11,7.31,5.75
第十八分位,5.00,8.68,8.00,7.91,9.24,8.41,8.65,8.11,9.69,5.94,5.63,7.50,7.70,6.06,9.78,8.97,7.94
第十九分位,5.00,11.27,10.14,12.84,11.66,10.13,12.18,11.20,12.93,9.19,9.21,10.82,12.07,9.53,12.72,11.95,12.43
第二十分位,5.00,25.90,21.77,44.57,20.18,14.99,31.51,34.05,20.15,57.13,61.57,43.81,37.46,45.25,23.23,29.01,31.43
合計,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
