表6-1(099年度)綜稅所得應納稅額及稅率各縣市申報統計表,製表日期：101年12月28日
縣市別,納稅單位,綜合所得總額(千元),所得淨額(千元),所得淨額百分比,應納稅額(千元),應納稅額百分比,>稅後所得(千元),稅後所得百分比,平均稅率,有效稅率
臺北市,808040,995286092,592469342,59.53,106312345,10.68,888973747,89.32,17.94,10.68
高雄市,627344,491387925,199586819,40.62,21318365,4.34,470069560,95.66,10.68,4.34
臺中市,622928,468965061,180811072,38.56,20952169,4.47,448012892,95.53,11.59,4.47
基隆市,100220,72423439,27004031,37.29,2326884,3.21,70096554,96.79,8.62,3.21
臺南市,403190,296726646,110739586,37.32,12072098,4.07,284654547,95.93,10.90,4.07
嘉義市,58035,45009320,17747608,39.43,1736773,3.86,43272547,96.14,9.79,3.86
新竹市,113318,133737756,74587278,55.77,12454027,9.31,121283729,90.69,16.70,9.31
新北市,1058980,837676311,347723568,41.51,37547921,4.48,800128390,95.52,10.80,4.48
宜蘭縣,96682,64489591,20020196,31.04,1822722,2.83,62666869,97.17,9.10,2.83
桃園縣,509205,406691963,157121626,38.63,16177112,3.98,390514851,96.02,10.30,3.98
新竹縣,131369,125777999,56885362,45.23,7051292,5.61,118726707,94.39,12.40,5.61
苗栗縣,133565,92209572,30640733,33.23,2636654,2.86,89572918,97.14,8.61,2.86
南投縣,92625,61315261,19923801,32.49,1877405,3.06,59437856,96.94,9.42,3.06
彰化縣,274923,182696336,60877589,33.32,7634552,4.18,175061784,95.82,12.54,4.18
雲林縣,120872,79389447,24746760,31.17,2191255,2.76,77198192,97.24,8.85,2.76
嘉義縣,86554,55927522,16780833,30.00,1375814,2.46,54551708,97.54,8.20,2.46
屏東縣,138353,91838687,29322240,31.93,2507090,2.73,89331597,97.27,8.55,2.73
花蓮縣,67780,45221028,15295463,33.82,1307098,2.89,43913930,97.11,8.55,2.89
臺東縣,34631,22890396,7325097,32.00,576196,2.52,22314200,97.48,7.87,2.52
澎湖縣,16671,12364698,4427743,35.81,342638,2.77,12022060,97.23,7.74,2.77
金門縣,21518,17546324,6594147,37.58,534560,3.05,17011764,96.95,8.11,3.05
連江縣,2530,2286573,953676,41.71,74403,3.25,2212170,96.75,7.80,3.25
合計,5519333,4601857948,2001584569,43.50,260829375,5.67,4341028573,94.33,13.03,5.67
