表6-3-1(099年度)綜稅所得應納稅額及稅率十分位申報統計表,製表日期：101年12月27日
分位別,納稅單位,綜合所得總額(千元),所得淨額(千元),所得淨額百分比,應納稅額(千元),應納稅額百分比,>稅後
所得(千元),稅後所得百分比,平均稅率,有效稅率
第一分位,551934,52459367,85017,0.16,4248,0.01,52455119,99.99,5.00,0.01
第二分位,551934,131982136,1987384,1.51,99334,0.08,131882802,99.92,5.00,0.08
第三分位,551934,179694729,15493254,8.62,774557,0.43,178920171,99.57,5.00,0.43
第四分位,551933,226455874,32348923,14.28,1617319,0.71,224838555,99.29,5.00,0.71
第五分位,551933,277936733,51591456,18.56,2579425,0.93,275357308,99.07,5.00,0.93
第六分位,551933,338379311,75233009,22.23,3761680,1.11,334617631,98.89,5.00,1.11
第七分位,551933,418397278,110316244,26.37,5609773,1.34,412787505,98.66,5.09,1.34
第八分位,551933,534999405,174277620,32.58,9748459,1.82,525250945,98.18,5.59,1.82
第九分位,551933,731266007,320984065,43.89,20753306,2.84,710512702,97.16,6.47,2.84
第十分位,551933,1710287108,1219267598,71.29,215881273,12.62,1494405835,87.38,17.71,12.62
合計,5519333,4601857948,2001584569,43.50,260829375,5.67,4341028573,94.33,13.03,5.67
