表7-1(099年度)綜稅各種所得及應納稅額單項分配各縣市申報統計表,製表日期：101年12月28日
縣市別,納稅單位(%),綜合所得總額(%),所得淨額(%),應納稅額(%),稅後所得(%)
臺北市,14.64,21.63,29.60,40.76,20.48
高雄市,11.37,10.68,9.97,8.17,10.83
臺中市,11.29,10.19,9.03,8.03,10.32
基隆市,1.82,1.57,1.35,0.89,1.61
臺南市,7.31,6.45,5.53,4.63,6.56
嘉義市,1.05,0.98,0.89,0.67,1.00
新竹市,2.05,2.91,3.73,4.77,2.79
新北市,19.19,18.20,17.37,14.40,18.43
宜蘭縣,1.75,1.40,1.00,0.70,1.44
桃園縣,9.23,8.84,7.85,6.20,9.00
新竹縣,2.38,2.73,2.84,2.70,2.73
苗栗縣,2.42,2.00,1.53,1.01,2.06
南投縣,1.68,1.33,1.00,0.72,1.37
彰化縣,4.98,3.97,3.04,2.93,4.03
雲林縣,2.19,1.73,1.24,0.84,1.78
嘉義縣,1.57,1.22,0.84,0.53,1.26
屏東縣,2.51,2.00,1.46,0.96,2.06
花蓮縣,1.23,0.98,0.76,0.50,1.01
臺東縣,0.63,0.50,0.37,0.22,0.51
澎湖縣,0.30,0.27,0.22,0.13,0.28
金門縣,0.39,0.38,0.33,0.20,0.39
連江縣,0.05,0.05,0.05,0.03,0.05
合計,100.00,100.00,100.00,100.00,100.00
