表7-3-2(099年度)綜稅各種所得及應納稅額單項分配二十分位未申報統計表,製表日期：101年12月27日
分位別,納稅單位(%),綜合所得總額(%),所得淨額(%),應納稅額(%),稅後所得(%)
第一分位,5.00,0.28,0.00,0.00,0.29
第二分位,5.00,0.86,0.00,0.00,0.91
第三分位,5.00,1.29,0.03,0.01,1.37
第四分位,5.00,1.57,0.07,0.03,1.67
第五分位,5.00,1.83,0.29,0.11,1.93
第六分位,5.00,2.08,0.49,0.19,2.19
第七分位,5.00,2.33,0.70,0.27,2.45
第八分位,5.00,2.59,0.91,0.35,2.73
第九分位,5.00,2.87,1.17,0.45,3.02
第十分位,5.00,3.17,1.41,0.54,3.33
第十一分位,5.00,3.49,1.70,0.65,3.66
第十二分位,5.00,3.86,2.05,0.79,4.05
第十三分位,5.00,4.29,2.49,0.96,4.49
第十四分位,5.00,4.80,3.02,1.19,5.02
第十五分位,5.00,5.43,3.79,1.58,5.66
第十六分位,5.00,6.20,4.92,2.16,6.44
第十七分位,5.00,7.21,6.65,3.12,7.45
第十八分位,5.00,8.68,9.39,4.83,8.91
第十九分位,5.00,11.27,14.51,8.99,11.40
第二十分位,5.00,25.90,46.40,73.78,23.02
合計,100.00,100.00,100.00,100.00,100.00
