表8-3-1(099年度)綜稅所得總額十分位申報統計分析表,製表日期：101年12月27日
分位別,納稅單位,綜合所得總額(千元),平均數(千元),中位數(千元),第一分位數(千元),第三分位數(千元),標準>差,變異係數
第一分位,551934,52459367,95,98,45,145,56.09,59.01
第二分位,551934,131982136,239,241,215,262,27.09,11.33
第三分位,551934,179694729,326,325,305,346,23.95,7.36
第四分位,551933,226455874,410,410,388,432,25.39,6.19
第五分位,551933,277936733,504,503,479,528,28.53,5.67
第六分位,551933,338379311,613,611,582,644,35.54,5.80
第七分位,551933,418397278,758,755,715,800,49.56,6.54
第八分位,551933,534999405,969,964,904,1032,74.48,7.68
第九分位,551933,731266007,1325,1307,1199,1441,143.67,10.84
第十分位,551933,1710287108,3099,2232,1858,2995,12693.77,409.65
合計,5519333,4601857948,834,554,325,964,4099.48,491.68
