表8-3-2(099年度)綜稅所得總額二十分位申報統計分析表,製表日期：101年12月27日
分位別,納稅單位,綜合所得總額(千元),平均數(千元),中位數(千元),第一分位數(千元),第三分位數(千元),標準>差,變異係數
第一分位,275967,12760429,46,45,20,72,29.22,63.19
第二分位,275967,39698937,144,145,121,167,25.97,18.05
第三分位,275967,59519635,216,215,205,228,14.75,6.84
第四分位,275967,72462501,263,262,252,273,12.29,4.68
第五分位,275967,84115415,305,305,295,315,11.86,3.89
第六分位,275967,95579313,346,346,336,357,11.98,3.46
第七分位,275967,107166912,388,388,378,399,12.43,3.20
第八分位,275967,119289417,432,432,421,444,13.03,3.01
第九分位,275967,132161406,479,479,467,491,13.86,2.89
第十分位,275967,145775981,528,528,515,541,14.81,2.80
第十一分位,275967,160707123,582,582,568,597,16.46,2.83
第十二分位,275967,177673113,644,644,627,660,19.13,2.97
第十三分位,275967,197380743,715,715,696,734,22.40,3.13
第十四分位,275966,221017052,801,800,777,824,27.23,3.40
第十五分位,275966,249773372,905,904,876,933,33.01,3.65
第十六分位,275966,285225702,1034,1032,997,1070,41.88,4.05
第十七分位,275966,331735778,1202,1199,1152,1250,56.83,4.73
第十八分位,275966,399529626,1448,1441,1370,1522,88.76,6.13
第十九分位,275966,518527416,1879,1858,1726,2021,174.92,9.31
第二十分位,275966,1191758076,4318,2995,2524,3993,17867.81,413.75
合計,5519333,4601857948,834,554,325,964,4099.48,491.68
